id;name;orcid;employer;affiliated in;involved in
P026;Davide Rodogno;https://orcid.org/0000-0002-0947-4515;G052;;
P027;Maud Ehrmann;https://orcid.org/0000-0001-9900-2193;G006;;PR003
P028;Ranjodh Singh Dhaliwal;https://orcid.org/0000-0002-9826-0614;G001;;
P029;"Rosa Lavelle-Hill  ";https://orcid.org/0000-0002-1767-9828;G001;;
P030;Enrico Natale;https://orcid.org/0000-0002-0967-5931;G031;"G054; PR003";
P031;Julien A. Raemy;https://orcid.org/0000-0002-4711-5759;G066;"G002; G018; G049; G054";PR001
P032;Katharina Böhmer;https://orcid.org/0009-0003-7269-6780;G002;;
P033;Sebastian Borkowski;;G002;;
P034;Joseph Chataignon;;G002;;
P035;Peter Dängeli;https://orcid.org/0000-0003-3576-7474;G002;;
P036;Adrian Demleitner;https://orcid.org/0000-0001-9918-7300;"G002; G027";"G054; G018";"PR001; PR002"
P037;Sebastian Flick;;G002;;
P038;Stephen Hart;https://orcid.org/0009-0003-6556-5512;G002;;PR007
P039;Ursula Loosli;https://orcid.org/0000-0002-1480-315X;G002;;
P040;Christa Schneider;https://orcid.org/0000-0001-9741-0601;G002;;
P041;Dominic Weber;https://orcid.org/0000-0002-9265-3388;"G002; G057";G054;
P042;Katharina Scheller;https://orcid.org/0000-0002-6528-9445;G002;;
P043;Jonas Widmer;;G002;;
P044;Yangying Mao;;G002;;
P045;Addrich Mauch;;G002;;
P046;Gaétan Muck;;G002;;
P047;Ismail Prada Ziegler;https://orcid.org/0000-0003-4229-8688;G002;;
P048;Florian Matter;;;G002;
P049;Vlad Atanasiu;https://orcid.org/0000-0001-7457-7089;;G002;
P050;Tao Fan;https://orcid.org/0000-0002-6846-2901;;G002;
P051;Sonja Gasser;https://orcid.org/0000-0003-0112-4841;;G002;
P052;Rachel Huber;https://orcid.org/0000-0002-6022-5354;G062;G002;
P053;Katarzyna Langenegger;https://orcid.org/0000-0003-1244-3346;;G002;PR004
P054;Laurent Pugin;https://orcid.org/0000-0002-9525-4331;G077;"G002; G076";
P055;Annemieke C. Romein;https://orcid.org/0000-0003-3682-0126;;G002;
P056;Michael Schonhardt;https://orcid.org/0000-0002-2750-1900;;G002;
P057;Jan Baumann;;G031;G054;
P058;Laura Bitterli;;G058;G054;
P059;Nicolas Chachereau;;G057;G054;
P060;Lorenz Dändliker;;G058;G054;
P061;Moritz J. Feichtinger;https://orcid.org/0000-0003-1260-8884;G057;G054;
P062;Pascal Föhr;https://orcid.org/0009-0005-0887-2131;G068;G054;
P063;Yvonne Fuchs;https://orcid.org/0009-0007-4545-606X;"G057; G062";G054;
P064;Martin Grandjean;https://orcid.org/0000-0003-3184-3943;G016;"G054; G025";PR003
P065;Kaspar Gubler;;G064;G054;
P066;Philipp Krauer;https://orcid.org/0009-0008-2299-660X;"G016; G069";G054;
P067;Eliane Kurmann;https://orcid.org/0000-0002-9037-7260;G031;G054;
P068;Victoria G. D. Landau;https://orcid.org/0000-0002-7682-5709;G057;"G054; G001";
P069;Rudolf Gschwind;;;G001;
P070;Georg Lutz;https://orcid.org/0000-0001-5851-2955;G055;G061;
P071;Muriel Heisch;;G010;;
P072;Sophie Hammer;;G010;;
P073;Matteo Romanello;https://orcid.org/0000-0002-7406-6286;G010;;
P074;Alina Degen;;G010;;
P075;Silvan Benz;;G010;;
P076;Michael Piotrowski;https://orcid.org/0000-0003-3307-5386;G016;G054;
P077;Tim Rüdiger;https://orcid.org/0009-0004-5148-8242;G065;G054;
P078;Elias Kreyenbühl;;G065;G001;
P079;Raphaëlle Ruppen Coutaz;https://orcid.org/0000-0002-3503-4978;G016;G054;PR003
P080;Eliane Schmid;https://orcid.org/0000-0001-7904-3908;G070;G054;
P081;Ina Senif;https://orcid.org/0000-0003-2419-42521;G057;G054;
P082;Christiane Sibille;https://orcid.org/0000-0003-3689-2154;G067;"G054; G061";
P083;Johannes Wahl;;G067;G054;
P084;Ulrike Felsing;;G027;G002;PR001
P085;Rahel C. Ackermann;https://orcid.org/0000-0002-2927-7471;G070;G061;
P086;Sacha Zala;https://orcid.org/0000-0002-0125-7313;G072;"G053; G061";
P087;Doris Hanappi;https://orcid.org/0000-0002-1735-4214;G058;G061;
P088;Stephanie Steinmetz;https://orcid.org/0000-0001-7136-6622;G016;"G061; G055";
P089;Linda Ludwig;;G074;;
P090;Fabiana Senkpiel;https://orcid.org/0000-0002-7165-4859;G027;;
P091;Béatrice Gauvain;https://orcid.org/0000-0003-1085-7772;G001;G018;
P092;Marian Clemens Manz;https://orcid.org/0000-0002-4408-7107;G001;G018;
P093;Florian Spiess;https://orcid.org/0000-0002-3396-1516;G057;G001;PR001
P094;David Spirgi;;G057;G001;PR008
P095;Tina Ternes;https://orcid.org/0009-0008-0914-6694;G001;;PR006
P096;Antonia Vogler;https://orcid.org/0009-0007-9292-4831;G001;;PR006
P097;Soledad Castaño Santos;;G057;G001;PR008
P098;Cristina Loi;https://orcid.org/0000-0002-3694-5837;G001;;
P099;Christoph Rohrer;;G001;G018;PR001
P100;Manuel Rosenthaler;;G001;;
P101;Alexandra Tschakert;;"G001; G075";;
P102;Christian Weber;https://orcid.org/0000-0003-1078-1851;G001;G018;
P103;Berenike Herrmann;https://orcid.org/0000-0002-5256-0566;;G001;
P104;Rodrigo Cerqueira Gonzalez Pena;https://orcid.org/0000-0002-9010-2830;G057;G001;
P105;Regula Hohl Trillini;https://orcid.org/0009-0006-3819-7373;G057;G001;PR004
P106;Stefan Münnich;https://orcid.org/0000-0002-0744-5374;G057;"G001; G076";
P107;Andrew Hankinson;https://orcid.org/0000-0003-2663-0003;G077;G076;
P108;Manuel Sutter;;G057;G001;PR004
P109;Tristan Weddigen;https://orcid.org/0000-0002-4609-8950;"G003; G078";"G018; G010";
P110;Darío Negueruela;https://orcid.org/0000-0002-6333-1515;G003;G018;
P111;Leonardo Impett;https://orcid.org/0000-0003-1774-5175;;G003;
P112;Valentine Bernasconi;https://orcid.org/0000-0002-9467-8896;;"G003; G018; G078";
P113;Jason Armitage;https://orcid.org/0000-0001-6377-2786;G003;;
P114;Ludovica Schaerf;https://orcid.org/0000-0001-9460-702X;G003;;
P115;Pepe Ballesteros;;G003;;
P116;Iacopo Neri;https://orcid.org/0000-0002-9246-6494;G003;;
P117;Martin Stuber;https://orcid.org/0000-0001-9853-9570;G064;PR001;PR004
P118;Ina Habermann;https://orcid.org/0000-0002-7403-9595;G064;;PR004
P119;Christian Forney;;G064;;PR004
P120;Lukas Heinzmann;https://orcid.org/0000-0002-4628-3865;G064;;PR004
P121;Alessandro Lattanzi;https://orcid.org/0000-0002-2898-6874;G064;;PR004
P122;Walter Leimgruber;;G057;;PR001
P123;Fabian Frei;;G001;;PR001
P124;Nicole Peduzzi;;G057;;PR001
P125;Daniel Schoeneck;;G027;;PR001
P126;Murielle Cornut;https://orcid.org/0000-0002-4899-1208;G057;;PR001
P127;Fabienne Lüthi;;G057;;PR001
P128;Birgit Huber;;G057;;PR001
P129;Max Frischknecht;https://orcid.org/0000-0001-8043-1895;"G002; G027";;PR001
P130;Simon Clematide;https://orcid.org/0000-0003-1365-0662;G058;;PR003
P131;Marten Düring;https://orcid.org/0000-0001-7411-771X;G070;;PR003
P132;Emanuela Boros;https://orcid.org/0000-0001-6299-9452;G006;;
P133;Pauline Isabela Conti;;G006;;PR003
P134;Manuel Julian Ehrenfeld;;G006;;
P135;Paul Guhennec;https://orcid.org/0000-0002-5490-5249;G006;G078;
P136;Harm Den Boer;https://orcid.org/0000-0001-6611-9803;G057;;PR008
P137;Sonja Hildebrand;https://orcid.org/0000-0001-7997-5051;G051;;"PR009; PR010"
P138;Philip Ursprung;https://orcid.org/0009-0000-6256-8900;G060;;"PR009; PR010"
P139;Maarten Delbeke;https://orcid.org/0000-0003-4767-1808;G060;;PR010
P140;"Gerold Schneider
";https://orcid.org/0000-0002-1905-6237;G058;PR010;
P141;Irina Davidovici;https://orcid.org/0000-0001-7260-7133;G060;PR010;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
